Article,Headline,is_sarcasm
https://www.facebook.com/ngothi.ngoctram.73?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Ngô Thị Ngọc Trâm,1
https://www.facebook.com/saitss18?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Công Chấn,1
https://www.facebook.com/profile.php?id=100009127549664&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Trung Khá,1
https://www.facebook.com/profile.php?id=100008724436424&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Tiến Đạt,1
https://www.facebook.com/profile.php?id=100008666400540&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Kim Huyền,1
https://www.facebook.com/profile.php?id=100008260833646&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Bảo Châu,1
https://www.facebook.com/cong.luan.7982?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Công Luận,1
https://www.facebook.com/duonghao.le?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Dương Hào,1
https://www.facebook.com/rf.kiyo?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Thảo Quang,1
https://www.facebook.com/thanhhong290100?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Trương Thanh Hồng,1
https://www.facebook.com/ntn.luan28?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Tăng Ngọc Luân,1
https://www.facebook.com/MScorpioiis?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Quỳnh Phương,1
https://www.facebook.com/ngoclovelygm?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Kim Ngoc Nguyen,1
https://www.facebook.com/vankhang0706?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Văn Khang,1
https://www.facebook.com/profile.php?id=100006422174180&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Nam,1
https://www.facebook.com/profile.php?id=100006138586374&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Thanh,1
https://www.facebook.com/chi.chamchi.988?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Lê Thị Kim Chi,1
https://www.facebook.com/leha.giang.58?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Lê Hà Giang,1
https://www.facebook.com/ductu.nguyen.77312?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Tu Nguyen,1
https://www.facebook.com/anhhho.904?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Hồ Ngọc Khuyến,1
https://www.facebook.com/sonnguyen1507?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Thành Sơn,1
https://www.facebook.com/tranvankhoi.25?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Khôi Trần,1
https://www.facebook.com/NCT.Bii?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Nguyễn Công Tuấn,1
https://www.facebook.com/nghjchnguyen?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-a]-R,Phương Dung,1
